Car_ID,Brand,Model,Year,Color,Engine_Type,Transmission,Price
C0405,Tesla,Model X,2023,Black,Hybrid,Automatic,88806.92
C0406,Toyota,Camry,2018,Gray,Hybrid,Automatic,93761.81
C0407,Kia,Sportage,2015,Silver,Diesel,Automatic,25314.9
C0408,BMW,5 Series,2025,Black,Diesel,Manual,52323.95
C0409,Mercedes,GLA,2024,Blue,Electric,Automatic,72708.59
C0410,Kia,Cerato,2025,Gray,Petrol,Automatic,41377.02
C0411,Nissan,Sunny,2025,Silver,Electric,Automatic,92927.72
C0412,BMW,5 Series,2025,Gray,Petrol,Manual,22416.75
C0413,Kia,Seltos,2021,Silver,Petrol,Manual,95358.71
C0414,BMW,X5,2018,Red,Electric,Manual,75830.05
C0415,Mercedes,C-Class,2022,Red,Petrol,Manual,40626.62
C0416,Mercedes,C-Class,2018,Black,Hybrid,Automatic,36408.74
C0417,Kia,Seltos,2020,Black,Hybrid,Automatic,97010.2
C0418,Mercedes,E-Class,2024,Silver,Hybrid,Automatic,33747.3
C0419,Hyundai,Elantra,2024,Blue,Electric,Automatic,26589.96
C0420,Tesla,Model X,2021,Black,Diesel,Automatic,99307.62
C0421,Nissan,Sunny,2024,White,Electric,Automatic,67664.2
C0422,BMW,5 Series,2024,Silver,Diesel,Automatic,24443.71
C0423,Kia,Cerato,2019,Gray,Electric,Automatic,70594.53
C0424,Nissan,Qashqai,2020,Blue,Petrol,Manual,70388.78
C0425,Toyota,RAV4,2019,White,Diesel,Manual,20378.35
C0426,Hyundai,Tucson,2017,Black,Diesel,Manual,72163.86
C0427,Kia,Cerato,2022,Black,Hybrid,Manual,81521.6
C0428,Mercedes,E-Class,2016,Black,Hybrid,Manual,46983.41
C0429,Mercedes,GLA,2025,Gray,Petrol,Manual,86656.17
C0430,Nissan,Sunny,2017,Red,Diesel,Automatic,21393.33
C0431,Hyundai,Tucson,2017,Silver,Petrol,Automatic,90207.03
C0432,Nissan,Sunny,2015,Red,Hybrid,Automatic,49078.51
C0433,Nissan,Altima,2015,Gray,Hybrid,Manual,72226.72
C0434,Mercedes,E-Class,2019,Red,Petrol,Manual,45192.28
C0435,Tesla,Model X,2016,Gray,Electric,Automatic,25337.12
C0436,Mercedes,GLA,2018,White,Diesel,Manual,67934.18
C0437,Nissan,Sunny,2025,Gray,Electric,Automatic,99669.63
C0438,Toyota,Camry,2020,Blue,Electric,Manual,62584.97
C0439,Hyundai,Tucson,2025,Gray,Diesel,Automatic,70576.6
C0440,Tesla,Model 3,2016,Red,Electric,Manual,77162.51
C0441,BMW,3 Series,2019,Silver,Petrol,Manual,99718.55
C0442,Nissan,Sunny,2024,Black,Diesel,Manual,90545.9
C0443,Mercedes,GLA,2019,White,Petrol,Automatic,15040.82
C0444,Hyundai,Elantra,2015,Silver,Electric,Automatic,52122.52
C0445,Mercedes,C-Class,2022,White,Electric,Automatic,67001.44
C0446,Mercedes,C-Class,2019,Red,Electric,Automatic,96503.38
C0447,Hyundai,Tucson,2017,White,Hybrid,Automatic,96124.81
C0448,Toyota,RAV4,2021,White,Petrol,Automatic,81740.74
C0449,Kia,Cerato,2019,Blue,Hybrid,Automatic,42928.74
C0450,Hyundai,Tucson,2023,Black,Petrol,Automatic,95414.91
C0451,Toyota,Corolla,2020,Black,Electric,Manual,71681.32
C0452,BMW,X5,2021,Silver,Electric,Manual,96580.7
C0453,Tesla,Model X,2024,Black,Diesel,Automatic,39915.71
C0454,Tesla,Model 3,2016,Black,Petrol,Manual,56316.6
C0455,Nissan,Qashqai,2023,Gray,Hybrid,Manual,94666.38
C0456,Kia,Sportage,2016,White,Petrol,Manual,18896.17
C0457,Mercedes,E-Class,2018,Black,Diesel,Manual,89425.83
C0458,Nissan,Sunny,2022,Gray,Hybrid,Manual,21314.27
C0459,Mercedes,C-Class,2015,White,Diesel,Manual,86997.52
C0460,Kia,Seltos,2024,Gray,Electric,Automatic,89695.19
C0461,Mercedes,C-Class,2023,Gray,Electric,Manual,69815.82
C0462,Kia,Cerato,2020,Gray,Diesel,Manual,70305.32
C0463,BMW,3 Series,2025,Black,Petrol,Manual,97547.49
C0464,Hyundai,Elantra,2023,White,Hybrid,Manual,71865.37
C0465,BMW,X5,2020,Red,Electric,Manual,97325.62
C0466,Mercedes,E-Class,2015,White,Petrol,Manual,31162.29
C0467,Nissan,Qashqai,2016,Red,Petrol,Automatic,67754.28
C0468,BMW,5 Series,2024,Blue,Electric,Automatic,22864.84
C0469,Kia,Seltos,2021,Red,Diesel,Manual,74126.21
C0470,Mercedes,E-Class,2018,Red,Diesel,Manual,57972.89
C0471,Toyota,RAV4,2016,Silver,Hybrid,Automatic,65330.42
C0472,Hyundai,Sonata,2024,Gray,Petrol,Manual,57968.41
C0473,BMW,5 Series,2018,White,Hybrid,Automatic,77673.89
C0474,Hyundai,Elantra,2021,Black,Hybrid,Automatic,96801.96
C0475,Mercedes,C-Class,2025,Gray,Hybrid,Manual,39426.35
C0476,Toyota,Corolla,2025,Blue,Hybrid,Automatic,98034.8
C0477,Nissan,Sunny,2016,Gray,Electric,Automatic,63023.81
C0478,Mercedes,GLA,2019,Blue,Electric,Manual,39151.25
C0479,Tesla,Model X,2019,Blue,Electric,Automatic,95030.16
C0480,Toyota,Camry,2020,Blue,Petrol,Automatic,69164.8
C0481,Mercedes,E-Class,2023,Gray,Hybrid,Manual,53295.04
C0482,Toyota,Camry,2018,Black,Hybrid,Manual,47304.02
C0483,Kia,Seltos,2020,Blue,Electric,Manual,57978.6
C0484,Toyota,Camry,2018,Gray,Petrol,Automatic,35701.45
C0485,Tesla,Model X,2022,Gray,Petrol,Manual,95460.71
C0486,BMW,3 Series,2023,Silver,Electric,Manual,64128.73
C0487,Tesla,Model X,2018,White,Hybrid,Manual,71823.77
C0488,Tesla,Model 3,2025,White,Petrol,Automatic,26437.0
C0489,Mercedes,E-Class,2018,White,Electric,Automatic,76993.42
C0490,BMW,5 Series,2016,Black,Hybrid,Automatic,53228.52
C0491,Kia,Seltos,2022,Red,Petrol,Automatic,19841.22
C0492,Tesla,Model 3,2022,Blue,Electric,Manual,16340.85
C0493,Toyota,Corolla,2017,Black,Diesel,Automatic,31016.48
C0494,Toyota,Corolla,2017,White,Electric,Manual,42214.03
C0495,Tesla,Model S,2018,Black,Diesel,Automatic,97334.54
C0496,BMW,X5,2023,Red,Diesel,Manual,53580.76
C0497,Nissan,Altima,2021,Black,Electric,Manual,24233.93
C0498,Mercedes,GLA,2018,Red,Petrol,Manual,55534.6
C0499,Tesla,Model 3,2025,Blue,Diesel,Manual,59691.91
C0500,Mercedes,GLA,2024,Blue,Electric,Automatic,75993.8
