Номер кейса,Номер задачи,ID клиента,Пол,Канал обращения,Ответственный отдел,Категория услуг,Услуга,Программа,Дата и время создания (МСК),Что делали,Страна,Город,"""Технический кейс"""
9357,9357.11276,13501,Мужской,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,30.07.2024 10:50,Инфо,Россия,Москва,1
27676,27676.31786,13501,,Мессенджер,Первая Линия,Путешествия,Авиа,Базовый,06.11.2024 23:46,Подборка,Россия,Москва,0
30032,30032.34369,13501,,Телефон,Первая Линия,Путешествия,Авиа,Базовый,18.11.2024 20:26,Бронирование/покупка,Россия,Москва,0
30032,30032.34389,13501,,Телефон,Первая Линия,Путешествия,Регистрация на рейс,Базовый,18.11.2024 22:39,Бронирование/покупка,Россия,Москва,0
30032,30032.34390,13501,,Телефон,Первая Линия,Путешествия,Регистрация на рейс,Базовый,18.11.2024 22:39,Инфо,Россия,Москва,0
30056,30056.34392,13501,,Телефон,Путешествия,Путешествия,Авиа,Базовый,19.11.2024 00:16,"Инфо, Подборка",Россия,Москва,0
30056,30056.34393,13501,,Телефон,Путешествия,Путешествия,Авиа,Базовый,19.11.2024 00:16,"Инфо, Подборка",Россия,Москва,0
30056,30056.34394,13501,,Телефон,Путешествия,Путешествия,Авиа,Базовый,19.11.2024 00:16,"Инфо, Подборка",Россия,Москва,0
30056,30056.34395,13501,,Телефон,Путешествия,Путешествия,Авиа,Базовый,19.11.2024 00:16,"Инфо, Подборка",Россия,Москва,0
30056,30056.34396,13501,,Телефон,Путешествия,Путешествия,Авиа,Базовый,19.11.2024 00:16,"Инфо, Подборка",Россия,Москва,0
31840,31840.1,13501,,Телефон,Путешествия,Путешествия,Авиа,Базовый,26.11.2024 21:34,Инфо,Россия,Москва,0
9354,9354.11265,13500,Женский,Мессенджер,Лайфстайл,Мероприятия,Мероприятия,Базовый,30.07.2024 09:46,Бронирование/покупка,Россия,Москва,0
9465,9465.11395,13500,Женский,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,30.07.2024 18:54,"Подборка, Бронирование/покупка",Россия,Москва,0
9465,9465.11396,13500,Женский,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,30.07.2024 18:54,Инфо,Россия,Москва,0
9465,9465.11580,13500,Женский,Мессенджер,Путешествия,Путешествия,Регистрация на рейс,Базовый,31.07.2024 15:46,"Подборка, Бронирование/покупка",Россия,Москва,0
9465,9465.11581,13500,Женский,Мессенджер,Путешествия,Путешествия,Регистрация на рейс,Базовый,31.07.2024 15:48,Бронирование/покупка,Россия,Москва,0
18710,18710.21749,13500,,Мессенджер,Путешествия,Размещение,Индивидуальный тур,Базовый,21.09.2024 16:33,Инфо,Россия,Москва,0
18710,18710.21750,13500,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,21.09.2024 16:34,Инфо,Россия,Москва,0
9356,9356.11267,13499,Мужской,Мессенджер,Лайфстайл,Информационная поддержка,Информационный запрос,Базовый,30.07.2024 10:05,Инфо,Россия,Новосибирск,0
9356,9356.11268,13499,Мужской,Мессенджер,Лайфстайл,Информационная поддержка,Информационный запрос,Базовый,30.07.2024 10:06,Инфо,Россия,Новосибирск,0
9375,9375.11298,13499,Мужской,Чат,Первая Линия,Информационная поддержка,Информационный запрос,Базовый,30.07.2024 12:22,Инфо,Россия,Новосибирск,0
11393,11393.13508,13499,Мужской,Телефон,Первая Линия,Сервисы,Бесплатная медицинская консультация,Базовый,10.08.2024 13:33,Передано партнеру,Россия,Новосибирск,0
9350,9350.11259,13498,Мужской,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,30.07.2024 08:43,Инфо,Россия,Южно-Сахалинск,1
9541,9541.11470,13498,Мужской,Мессенджер,Первая Линия,Информационная поддержка,Информационный запрос,Базовый,31.07.2024 10:10,Инфо,Россия,Южно-Сахалинск,0
9345,9345.11254,13497,Мужской,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,30.07.2024 08:24,Инфо,Россия,Новосибирск,1
9346,9346.11255,13497,Мужской,Мессенджер,Путешествия,Размещение,Пакетный тур,Базовый,30.07.2024 08:29,,Россия,Новосибирск,0
11048,11048.13109,13497,Мужской,Мессенджер,Первая Линия,Сервисы,Бесплатная юридическая консультация,Базовый,08.08.2024 12:16,Передано партнеру,Россия,Новосибирск,0
9323,9323.11235,13496,Мужской,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 23:44,Инфо,Россия,Москва,1
9325,9325.11237,13496,Мужской,Телефон,Первая Линия,Путешествия,Гиды и Экскурсии,Базовый,30.07.2024 00:05,Инфо,Россия,Москва,0
11456,11456.13584,13496,Мужской,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,10.08.2024 20:10,Инфо,Россия,Москва,0
22465,22465.25900,13496,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,11.10.2024 17:48,Бронирование/покупка,Россия,Москва,0
9319,9319.11229,13495,Женский,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 23:13,Инфо,Россия,Москва,1
9320,9320.11230,13495,Женский,Телефон,Первая Линия,Гастро,Ресторан,Базовый,29.07.2024 23:17,"Инфо, Бронирование/покупка",Россия,Москва,0
20605,20605.23813,13495,,Мессенджер,Первая Линия,Гастро,Ресторан,Базовый,02.10.2024 02:08,Бронирование/покупка,Россия,Москва,0
21032,21032.24327,13495,,Мессенджер,Лайфстайл,Мероприятия,Представления,Базовый,04.10.2024 15:18,Бронирование/покупка,Россия,Москва,0
21069,21069.24370,13495,,Мессенджер,Лайфстайл,Мероприятия,Представления,Базовый,04.10.2024 17:37,Бронирование/покупка,Россия,Москва,0
9307,9307.11218,13494,Мужской,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 21:58,Инфо,Россия,Москва,1
9314,9314.11223,13494,Мужской,Мессенджер,Лайфстайл,Товары,Товары,Базовый,29.07.2024 22:28,Бронирование/покупка,Россия,Москва,0
9314,9314.15769,13494,Мужской,Мессенджер,Лайфстайл,Сервисы,"Доставка, курьер",Базовый,22.08.2024 13:14,Инфо,Россия,Москва,0
22375,22375.25800,13494,,Мессенджер,Лайфстайл,Товары,Цветы,Базовый,11.10.2024 12:25,Бронирование/покупка,Россия,Москва,0
27378,27378.31476,13494,,Мессенджер,Лайфстайл,Мероприятия,Мероприятия,Базовый,05.11.2024 15:12,Инфо,Россия,Москва,0
30149,30149.34493,13494,,Мессенджер,Лайфстайл,Товары,Цветы,Базовый,19.11.2024 12:28,Бронирование/покупка,Россия,Москва,0
30273,30273.34615,13494,,Мессенджер,Путешествия,Путешествия,Трансфер,Базовый,19.11.2024 19:17,Снял запрос,Россия,Москва,0
9309,9309.11219,13493,Женский,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 22:03,Инфо,Россия,Москва,1
9311,9311.11221,13493,Женский,Мессенджер,Путешествия,Путешествия,Трансфер,Базовый,29.07.2024 22:12,Бронирование/покупка,Россия,Москва,0
11669,11669.13854,13493,Женский,Чат,Путешествия,Путешествия,Трансфер,Базовый,12.08.2024 15:32,Бронирование/покупка,Россия,Москва,0
11674,11674.13858,13493,Женский,Чат,Путешествия,Путешествия,Трансфер,Базовый,12.08.2024 15:42,Бронирование/покупка,Россия,Москва,0
9333,9333.11246,13492,Женский,Телефон,Первая Линия,Путешествия,Автобусы,Базовый,30.07.2024 04:09,Инфо,Россия,Тула,0
9286,9286.11199,13491,Мужской,Телефон,Путешествия,Размещение,Размещение,Базовый,29.07.2024 20:21,"Инфо, Подборка",Россия,Барнаул,0
9287,9287.11200,13491,Мужской,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 20:23,Инфо,Россия,Барнаул,1
11233,11233.13320,13490,Мужской,Мессенджер,Лайфстайл,Сервисы,Подбор персонала,Базовый,09.08.2024 14:08,"Инфо, Подборка",Россия,Москва,0
9275,9275.11183,13489,Мужской,Мессенджер,Путешествия,Размещение,Отели,VIP,29.07.2024 18:54,"Инфо, Бронирование/покупка",Россия,Москва,0
24746,24746.28495,13489,,Мессенджер,Путешествия,Размещение,Отели,VIP,23.10.2024 16:29,Инфо,Россия,Москва,0
9261,9261.11168,13486,Женский,Телефон,Путешествия,Путешествия,Авиа,Базовый,29.07.2024 18:07,Инфо,Россия,Москва,0
9261,9261.11169,13486,Женский,Телефон,Путешествия,Размещение,Групповой тур,Базовый,29.07.2024 18:08,Инфо,Россия,Москва,0
9262,9262.11170,13486,Женский,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 18:11,Инфо,Россия,Москва,1
10226,10226.12188,13486,Женский,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,03.08.2024 17:47,"Подборка, Бронирование/покупка",Россия,Москва,0
10235,10235.12196,13486,Женский,Мессенджер,Путешествия,Размещение,Отели,Базовый,03.08.2024 18:33,"Инфо, Бронирование/покупка",Россия,Москва,0
10235,10235.12197,13486,Женский,Мессенджер,Путешествия,Путешествия,Трансфер,Базовый,03.08.2024 18:36,"Инфо, Подборка",Россия,Москва,0
10235,10235.12199,13486,Женский,Мессенджер,Путешествия,Путешествия,Аренда транспорта без водителя,Базовый,03.08.2024 18:43,Подборка,Россия,Москва,0
10235,10235.12201,13486,Женский,Мессенджер,Путешествия,Размещение,Отели,Базовый,03.08.2024 18:45,"Инфо, Подборка",Россия,Москва,0
10235,10235.12202,13486,Женский,Мессенджер,Путешествия,Путешествия,Лодки без проживания,Базовый,03.08.2024 18:50,"Инфо, Подборка",Россия,Москва,0
10235,10235.12203,13486,Женский,Мессенджер,Путешествия,Путешествия,Гиды и Экскурсии,Базовый,03.08.2024 18:52,"Инфо, Бронирование/покупка",Россия,Москва,0
10235,10235.12240,13486,Женский,Мессенджер,Путешествия,Сервисы,Сервисы,Базовый,04.08.2024 00:33,Подборка,Россия,Москва,0
10235,10235.12282,13486,Женский,Мессенджер,Путешествия,Путешествия,Гиды и Экскурсии,Базовый,04.08.2024 13:03,"Инфо, Подборка",Россия,Москва,0
10235,10235.12283,13486,Женский,Мессенджер,Путешествия,Путешествия,Гиды и Экскурсии,Базовый,04.08.2024 13:04,"Инфо, Подборка",Россия,Москва,0
10235,10235.12364,13486,Женский,Мессенджер,Путешествия,Размещение,Отели,Базовый,04.08.2024 21:13,Инфо,Россия,Москва,0
10235,10235.12379,13486,Женский,Мессенджер,Путешествия,Путешествия,Трансфер,Базовый,04.08.2024 21:42,"Инфо, Подборка",Россия,Москва,0
11142,11142.13221,13486,Женский,Мессенджер,Первая Линия,Сервисы,Спорт активности,Базовый,08.08.2024 22:25,"Инфо, Подборка, Бронирование/покупка",Россия,Москва,0
11243,11243.13329,13486,Женский,Мессенджер,Лайфстайл,Товары,Красота и здоровье,Базовый,09.08.2024 14:43,"Инфо, Подборка",Россия,Москва,0
14368,14368.16879,13486,Женский,Мессенджер,Первая Линия,Информационная поддержка,Редирект,Базовый,28.08.2024 12:38,Инфо,Россия,Москва,0
20717,20717.23956,13486,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,02.10.2024 17:06,"Инфо, Подборка",Россия,Москва,0
22902,22902.26371,13486,,Мессенджер,Лайфстайл,Товары,Товары,Базовый,14.10.2024 11:38,"Инфо, Подборка",Россия,Москва,0
23083,23083.26577,13486,,Мессенджер,Лайфстайл,Товары,Товары,Базовый,15.10.2024 08:37,"Инфо, Подборка",Россия,Москва,0
24999,24999.28780,13486,,Мессенджер,Путешествия,Информационная поддержка,Информационный запрос,Базовый,24.10.2024 21:12,Инфо,Россия,Москва,0
25756,25756.29673,13486,,Мессенджер,Путешествия,Путешествия,Поезда,Базовый,28.10.2024 20:07,"Инфо, Подборка",Россия,Москва,0
25756,25756.29674,13486,,Мессенджер,Путешествия,Размещение,Отели,Базовый,28.10.2024 20:09,"Инфо, Подборка",Россия,Москва,0
27521,27521.31621,13486,,Мессенджер,Лайфстайл,Сервисы,Бьюти,Базовый,06.11.2024 08:52,Инфо,Россия,Москва,0
27564,27564.31659,13486,,Мессенджер,Лайфстайл,Товары,Красота и здоровье,Базовый,06.11.2024 12:21,"Инфо, Подборка",Россия,Москва,0
9324,9324.11236,13485,Женский,Мессенджер,Путешествия,Размещение,Отели,Базовый,29.07.2024 23:45,"Инфо, Подборка",Россия,Москва,0
9239,9239.11141,13484,Мужской,Телефон,Путешествия,Информационная поддержка,Информационный запрос,Базовый,29.07.2024 16:22,"Инфо, Бронирование/покупка",Россия,Екатеринбург,0
14260,14260.16755,13484,Мужской,Мессенджер,Путешествия,Путешествия,Поезда,Базовый,27.08.2024 19:49,Бронирование/покупка,Россия,Екатеринбург,0
16137,16137.18860,13484,,Телефон,Первая Линия,Путешествия,Поезда,Базовый,08.09.2024 08:24,Бронирование/покупка,Россия,Екатеринбург,0
18907,18907.21973,13484,,Телефон,Путешествия,Путешествия,Поезда,Базовый,23.09.2024 08:36,Бронирование/покупка,Россия,Екатеринбург,0
20177,20177.23320,13484,,Телефон,Путешествия,Путешествия,Поезда,Базовый,29.09.2024 19:06,"Инфо, Бронирование/покупка",Россия,Екатеринбург,0
32118,32118.1,13484,,Мессенджер,Путешествия,Размещение,Пакетный тур,Базовый,28.11.2024 10:59,Передано партнеру,Россия,Екатеринбург,0
32118,32118.2,13484,,Мессенджер,Путешествия,Размещение,Отели,Базовый,28.11.2024 11:02,Подборка,Россия,Екатеринбург,0
32118,32118.3,13484,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,28.11.2024 11:11,Подборка,Россия,Екатеринбург,0
32118,32118.4,13484,,Мессенджер,Путешествия,Путешествия,Трансфер,Базовый,28.11.2024 11:12,Подборка,Россия,Екатеринбург,0
32674,32674.1,13484,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,30.11.2024 18:13,Подборка,Россия,Екатеринбург,0
32674,32674.2,13484,,Мессенджер,Путешествия,Размещение,Отели,Базовый,30.11.2024 18:13,Подборка,Россия,Екатеринбург,0
32674,32674.3,13484,,Мессенджер,Путешествия,Путешествия,Трансфер,Базовый,30.11.2024 18:13,Подборка,Россия,Екатеринбург,0
9234,9234.11135,13483,Мужской,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,29.07.2024 15:56,Бронирование/покупка,Россия,Москва,0
9229,9229.11131,13482,Женский,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 15:44,Инфо,Россия,Тюмень,1
9224,9224.11126,13481,Женский,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 15:27,Инфо,Россия,Новосибирск,1
17995,17995.20961,13481,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,18.09.2024 13:23,Бронирование/покупка,Россия,Новосибирск,0
18085,18085.21044,13481,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,18.09.2024 17:22,Подборка,Россия,Новосибирск,0
9243,9243.11147,13480,Мужской,Мессенджер,Путешествия,Размещение,Частные дома и аппартаменты,VIP,29.07.2024 16:42,Подборка,Россия,Белгород,0
9243,9243.11388,13480,Мужской,Мессенджер,Путешествия,Сервисы,Сервисы,VIP,30.07.2024 18:17,"Инфо, Подборка",Россия,Белгород,0
9208,9208.11111,13478,Женский,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 14:37,Инфо,Россия,Южно-Сахалинск,1
9217,9217.11116,13478,Женский,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,29.07.2024 14:54,Подборка,Россия,Южно-Сахалинск,0
9217,9217.11118,13478,Женский,Мессенджер,Путешествия,Размещение,Размещение,Базовый,29.07.2024 14:57,Подборка,Россия,Южно-Сахалинск,0
9185,9185.11091,13477,Мужской,Мессенджер,Путешествия,Размещение,Отели,Базовый,29.07.2024 13:51,Инфо,Россия,Москва,0
16291,16291.19051,13477,,Телефон,Первая Линия,Товары,Авто,Базовый,09.09.2024 12:39,Инфо,Россия,Москва,0
9179,9179.11087,13475,Мужской,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 13:35,Инфо,Россия,Екатеринбург,1
12747,12747.15072,13475,Мужской,Чат,Путешествия,Путешествия,Аренда транспорта без водителя,Базовый,18.08.2024 19:10,Инфо,Россия,Екатеринбург,0
12747,12747.15073,13475,Мужской,Чат,Путешествия,Путешествия,Маршрут,Базовый,18.08.2024 19:10,Инфо,Россия,Екатеринбург,0
25793,25793.29703,13475,,Мессенджер,Лайфстайл,Гастро,Коллекция ресторанов,Базовый,28.10.2024 22:19,"Инфо, Подборка",Россия,Екатеринбург,0
9171,9171.11083,13474,Мужской,Телефон,Первая Линия,Сервисы,Бесплатная юридическая консультация,Базовый,29.07.2024 13:33,,Россия,Москва,0
9255,9255.11162,13472,Женский,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 17:46,Инфо,Россия,Лангепас,1
9728,9728.11682,13472,Женский,Мессенджер,Первая Линия,Информационная поддержка,Информационный запрос,Базовый,01.08.2024 07:51,Инфо,Россия,Лангепас,0
9178,9178.11086,13471,Мужской,Мессенджер,Путешествия,Путешествия,Аренда транспорта с водителем,Базовый,29.07.2024 13:35,"Инфо, Подборка",Россия,Балашиха,0
9279,9279.11189,13471,Мужской,Мессенджер,Лайфстайл,Сервисы,Сервисы,Базовый,29.07.2024 19:43,"Инфо, Подборка",Россия,Балашиха,0
9169,9169.11081,13470,Мужской,Почта,Путешествия,Размещение,Отели,VIP,29.07.2024 13:29,Подборка,Россия,Москва,0
9186,9186.11092,13470,Мужской,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,VIP,29.07.2024 13:56,Инфо,Россия,Москва,1
9168,9168.11079,13469,Женский,Мессенджер,Лайфстайл,Сервисы,Медицина,Базовый,29.07.2024 13:23,Инфо,Россия,Барнаул,0
9168,9168.11080,13469,Женский,Мессенджер,Лайфстайл,Сервисы,Медицина,Базовый,29.07.2024 13:23,Бронирование/покупка,Россия,Барнаул,0
9183,9183.11089,13469,Женский,Мессенджер,Путешествия,Размещение,Пакетный тур,Базовый,29.07.2024 13:46,,Россия,Барнаул,0
9429,9429.11346,13469,Женский,Мессенджер,Лайфстайл,Сервисы,Медицина,Базовый,30.07.2024 16:15,Бронирование/покупка,Россия,Барнаул,0
10480,10480.12498,13469,Женский,Чат,Лайфстайл,Сервисы,Медицина,Базовый,05.08.2024 14:43,"Инфо, Подборка",Россия,Барнаул,0
10480,10480.12632,13469,Женский,Чат,Лайфстайл,Сервисы,Медицина,Базовый,06.08.2024 06:06,"Инфо, Подборка",Россия,Барнаул,0
9189,9189.11094,13468,Женский,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 13:59,Инфо,Россия,Москва,1
9190,9190.11096,13468,Женский,Мессенджер,Первая Линия,Сервисы,Сервисы,Базовый,29.07.2024 14:01,Инфо,Россия,Москва,0
9144,9144.11056,13467,Мужской,Мессенджер,Путешествия,Размещение,Размещение,Базовый,29.07.2024 11:59,Инфо,Россия,Москва,0
9147,9147.11058,13467,Мужской,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 12:01,Инфо,Россия,Москва,1
9141,9141.11054,13466,Женский,Мессенджер,Лайфстайл,Товары,Коллекция подарков,VIP,29.07.2024 11:57,Подборка,Россия,Москва,0
9177,9177.11085,13466,Женский,Смс,Первая Линия,Информационная поддержка,Консьерж программа,VIP,29.07.2024 13:34,,Россия,Москва,1
9138,9138.11050,13465,Мужской,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 11:32,Инфо,Россия,Москва,1
10088,10088.12037,13465,Мужской,Чат,Путешествия,Размещение,Отели,Базовый,02.08.2024 21:02,Подборка,Россия,Москва,0
13142,13142.15483,13465,Мужской,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,20.08.2024 21:54,"Инфо, Подборка",Россия,Москва,0
13142,13142.15484,13465,Мужской,Мессенджер,Путешествия,Размещение,Отели,Базовый,20.08.2024 21:54,"Инфо, Подборка",Россия,Москва,0
13142,13142.15485,13465,Мужской,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,20.08.2024 21:54,Инфо,Россия,Москва,0
13142,13142.15486,13465,Мужской,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,20.08.2024 21:54,"Инфо, Подборка",Россия,Москва,0
13142,13142.15487,13465,Мужской,Мессенджер,Путешествия,Размещение,Отели,Базовый,20.08.2024 21:54,"Инфо, Подборка",Россия,Москва,0
13142,13142.15488,13465,Мужской,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,20.08.2024 21:54,"Инфо, Подборка",Россия,Москва,0
13142,13142.15489,13465,Мужской,Мессенджер,Путешествия,Размещение,Отели,Базовый,20.08.2024 21:54,"Инфо, Подборка",Россия,Москва,0
13142,13142.15490,13465,Мужской,Мессенджер,Путешествия,Размещение,Отели,Базовый,20.08.2024 21:54,"Инфо, Подборка",Россия,Москва,0
13537,13537.15941,13465,Мужской,Мессенджер,Лайфстайл,Сервисы,Спорт активности,Базовый,23.08.2024 09:38,"Инфо, Подборка",Россия,Москва,0
13904,13904.16355,13465,Мужской,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,25.08.2024 16:47,Инфо,Россия,Москва,0
13142,13142.20511,13465,,Мессенджер,Путешествия,Размещение,Отели,Базовый,16.09.2024 14:02,Подборка,Россия,Москва,0
30008,30008.34351,13465,,Мессенджер,Лайфстайл,Мероприятия,Представления,Базовый,18.11.2024 19:00,Инфо,Россия,Москва,0
9125,9125.11036,13464,Мужской,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.07.2024 10:32,Инфо,Россия,Москва,1
14420,14420.16939,13463,Мужской,Мессенджер,Первая Линия,Сервисы,Бесплатная медицинская консультация,Базовый,28.08.2024 16:30,Передано партнеру,Россия,Иркутск,0
23779,23779.27386,13463,,Мессенджер,Первая Линия,Сервисы,Бесплатная медицинская консультация,Базовый,18.10.2024 17:28,Передано партнеру,Россия,Иркутск,0
9112,9112.11023,13462,Мужской,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,29.07.2024 08:55,Инфо,Россия,Пермь,1
9160,9160.11072,13461,Женский,Мессенджер,Путешествия,Путешествия,Авиа,VIP,29.07.2024 12:59,"Инфо, Бронирование/покупка",Россия,Новосибирск,0
9160,9160.11097,13461,Женский,Мессенджер,Путешествия,Путешествия,Авиа,VIP,29.07.2024 14:03,"Инфо, Бронирование/покупка",Россия,Новосибирск,0
18605,18605.21634,13461,,Мессенджер,Первая Линия,Путешествия,Авиа,VIP,21.09.2024 08:12,"Инфо, Бронирование/покупка",Россия,Новосибирск,0
18605,18605.21645,13461,,Мессенджер,Первая Линия,Путешествия,Регистрация на рейс,VIP,21.09.2024 09:06,Инфо,Россия,Новосибирск,0
18605,18605.21646,13461,,Мессенджер,Первая Линия,Размещение,Отели,VIP,21.09.2024 09:06,"Инфо, Бронирование/покупка",Россия,Новосибирск,0
19515,19515.22627,13461,,Мессенджер,Лайфстайл,Сервисы,Сервисы,VIP,26.09.2024 08:37,Инфо,Россия,Новосибирск,0
19771,19771.22914,13461,,Мессенджер,Лайфстайл,Сервисы,Страхование,VIP,27.09.2024 12:33,Инфо,Россия,Новосибирск,0
26712,26712.30750,13461,,Мессенджер,Путешествия,Путешествия,Авиа,VIP,02.11.2024 11:02,Инфо,Россия,Новосибирск,0
9106,9106.11018,13460,Мужской,Телефон,Первая Линия,Путешествия,Авиа,Базовый,29.07.2024 07:27,Инфо,Россия,Улан-Удэ,0
17998,17998.20967,13460,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,18.09.2024 13:31,"Инфо, Подборка",Россия,Улан-Удэ,0
20247,20247.23390,13460,,Телефон,Путешествия,Путешествия,Авиа,Базовый,30.09.2024 10:31,Инфо,Россия,Улан-Удэ,0
9060,9060.10974,13459,Мужской,Телефон,Лайфстайл,Сервисы,Сервисы,Базовый,28.07.2024 19:50,Инфо,Россия,Ярославль,0
9061,9061.10975,13459,Мужской,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.07.2024 19:55,Инфо,Россия,Ярославль,1
9060,9060.10979,13459,Мужской,Телефон,Лайфстайл,Путешествия,Такси,Базовый,28.07.2024 20:34,"Инфо, Бронирование/покупка",Россия,Ярославль,0
9060,9060.10986,13459,Мужской,Телефон,Лайфстайл,Размещение,Отели,Базовый,28.07.2024 20:53,Бронирование/покупка,Россия,Ярославль,0
9063,9063.10977,13458,Мужской,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,28.07.2024 20:07,"Инфо, Бронирование/покупка",Россия,Курск,0
21215,21215.24514,13458,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,05.10.2024 14:56,Бронирование/покупка,Россия,Курск,0
21215,21215.24522,13458,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,05.10.2024 16:00,Инфо,Россия,Курск,0
9063,9063.24548,13458,,Мессенджер,Путешествия,Путешествия,Регистрация на рейс,Базовый,05.10.2024 18:49,Инфо,Россия,Курск,0
21215,21215.24549,13458,,Мессенджер,Путешествия,Путешествия,Регистрация на рейс,Базовый,05.10.2024 18:57,Инфо,Россия,Курск,0
21215,21215.24552,13458,,Мессенджер,Путешествия,Путешествия,Регистрация на рейс,Базовый,05.10.2024 18:59,"Инфо, Бронирование/покупка",Россия,Курск,0
9063,9063.24561,13458,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,05.10.2024 19:45,Бронирование/покупка,Россия,Курск,0
9063,9063.24562,13458,,Мессенджер,Путешествия,Путешествия,Регистрация на рейс,Базовый,05.10.2024 19:47,"Инфо, Снял запрос",Россия,Курск,0
9063,9063.28602,13458,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,24.10.2024 03:13,Инфо,Россия,Курск,0
9045,9045.10960,13457,Мужской,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,28.07.2024 18:32,"Инфо, Подборка",Россия,Москва,0
9046,9046.10961,13457,Мужской,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.07.2024 18:33,Инфо,Россия,Москва,1
19090,19090.22161,13457,,Телефон,Путешествия,Размещение,Отели,Базовый,24.09.2024 06:35,Инфо,Россия,Москва,0
9035,9035.10948,13456,Женский,Телефон,Путешествия,Путешествия,Трансфер,Базовый,28.07.2024 17:20,"Инфо, Подборка, Бронирование/покупка",Россия,Москва,0
30139,30139.34484,13456,,Мессенджер,Путешествия,Путешествия,Трансфер,Базовый,19.11.2024 11:58,Бронирование/покупка,Россия,Москва,0
9040,9040.10955,13455,Мужской,Мессенджер,Лайфстайл,Путешествия,Такси,Базовый,28.07.2024 18:01,"Бронирование/покупка, Снял запрос",Россия,Москва,0
9028,9028.10943,13454,Женский,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.07.2024 17:04,Инфо,Россия,Ульяновск,1
9029,9029.10944,13454,Женский,Телефон,Первая Линия,Сервисы,Бесплатная юридическая консультация,Базовый,28.07.2024 17:05,Передано партнеру,Россия,Ульяновск,0
9021,9021.10934,13453,Женский,Почта,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.07.2024 16:47,Инфо,Россия,Москва,1
9022,9022.10935,13453,Женский,Почта,Первая Линия,Сервисы,Бесплатная медицинская консультация,Базовый,28.07.2024 16:48,,Россия,Москва,0
8996,8996.10911,13452,Женский,Чат,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.07.2024 14:08,Инфо,Россия,Москва,0
9089,9089.11003,13452,Женский,Чат,Лайфстайл,Путешествия,Аренда транспорта без водителя,Базовый,28.07.2024 23:24,Подборка,Россия,Москва,0
